_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.- chainName,MonoBehaviour.- name,MonoBehaviour.- {fileID,MonoBehaviour.index,MonoBehaviour.inputConfig,MonoBehaviour.inputConfig_fileID,MonoBehaviour.isStandalone,MonoBehaviour.isVirtual,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_Name,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.rigCurves,MonoBehaviour.targetAnimator,MonoBehaviour.targetAnimator_fileID
Rig_0_CharacterModel_Custom_Template,Assets/MonoBehaviour/Rig_0_CharacterModel_Custom_Template.asset,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,137769669,Foot.R_end,Foot.R_end,,43,{fileID: 0},0,0,0,{fileID: 0},0,0,1,{fileID: 0},0,Rig_0_CharacterModel_Custom_Template,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 137769669, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",137769669,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,[],{fileID: 0},0
0_CharacterModel_Custom_Enemy _Boss_Storm5,Assets/GameObject/0_CharacterModel_Custom_Enemy _Boss_Storm5.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4998810109482147},,,,,,{fileID: 0},0,0,1,{fileID: 1208970599638479},1208970599638479,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy _Boss_Speedy,Assets/GameObject/0_CharacterModel_Custom_Enemy _Boss_Speedy.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4041097371324049},,,,,,{fileID: 0},0,0,1,{fileID: 1136468145655862},1136468145655862,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy _Boss_Fly,Assets/GameObject/0_CharacterModel_Custom_Enemy _Boss_Fly.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4615976685489968},,,,,,{fileID: 0},0,0,1,{fileID: 1508049749256888},1508049749256888,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Template,Assets/GameObject/0_CharacterModel_Custom_Template.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4809283037258055},,,,,,{fileID: 0},0,0,1,{fileID: 1111588185898782},1111588185898782,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
CharacterModel_Custom_XiaoMing,Assets/GameObject/CharacterModel_Custom_XiaoMing.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4862886989826234},,,,,,{fileID: 0},0,0,1,{fileID: 1439421864991093},1439421864991093,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
CharacterModel_Custom_StormCreature_NoArm,Assets/GameObject/CharacterModel_Custom_StormCreature_NoArm.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4851115469732550},,,,,,{fileID: 0},0,0,1,{fileID: 1038524262781010},1038524262781010,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy,Assets/GameObject/0_CharacterModel_Custom_Enemy.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4853031117188734},,,,,,{fileID: 0},0,0,1,{fileID: 1074805268536221},1074805268536221,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy_Arcade,Assets/GameObject/0_CharacterModel_Custom_Enemy_Arcade.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4252231262663899},,,,,,{fileID: 0},0,0,1,{fileID: 1568893667256287},1568893667256287,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy_Invisable,Assets/GameObject/0_CharacterModel_Custom_Enemy_Invisable.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4804270450752469},,,,,,{fileID: 0},0,0,1,{fileID: 1796469206262770},1796469206262770,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
0_CharacterModel_Custom_Enemy _Boss_Roadblock,Assets/GameObject/0_CharacterModel_Custom_Enemy _Boss_Roadblock.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4636228022922168},,,,,,{fileID: 0},0,0,1,{fileID: 1692583488835651},1692583488835651,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
CharacterModel_Custom_Ghost,Assets/GameObject/CharacterModel_Custom_Ghost.prefab,KAnimationCore.Runtime,123dfb783952bf3bc725cb9185c0e0a3,1340111052,,,4729634110032224},,,,,,{fileID: 0},0,0,1,{fileID: 1507587349786623},1507587349786623,,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1340111052, guid: 123dfb783952bf3bc725cb9185c0e0a3, type: 3}",1340111052,123dfb783952bf3bc725cb9185c0e0a3,Assets/Plugins/KAnimationCore.Runtime.dll,,,
