_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.center,MonoBehaviour.circleRadius,MonoBehaviour.circleResolution,MonoBehaviour.cutsAddedGeom,MonoBehaviour.detailedGizmos,MonoBehaviour.drawGizmos,MonoBehaviour.graphMask.value,MonoBehaviour.height,MonoBehaviour.isDual,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_Enabled,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_Script_path,MonoBehaviour.mask.m_Bits,MonoBehaviour.mask.serializedVersion,MonoBehaviour.mesh,MonoBehaviour.meshScale,MonoBehaviour.mesh_fileID,MonoBehaviour.quality,MonoBehaviour.radiusExpansionMode,MonoBehaviour.raycastOffset,MonoBehaviour.rectangleSize,MonoBehaviour.startEndModifier.addPoints,MonoBehaviour.startEndModifier.exactEndPoint,MonoBehaviour.startEndModifier.exactStartPoint,MonoBehaviour.startEndModifier.mask.m_Bits,MonoBehaviour.startEndModifier.mask.serializedVersion,MonoBehaviour.startEndModifier.useGraphRaycasting,MonoBehaviour.startEndModifier.useRaycasting,MonoBehaviour.tagPenalties,MonoBehaviour.thickRaycast,MonoBehaviour.thickRaycastRadius,MonoBehaviour.traversableTags,MonoBehaviour.type,MonoBehaviour.updateDistance,MonoBehaviour.updateRotationDistance,MonoBehaviour.use2DPhysics,MonoBehaviour.useGraphRaycasting,MonoBehaviour.useRaycasting,MonoBehaviour.useRotationAndScale,MonoBehaviour.version
Building_Kitchen,Assets/GameObject/Building_Kitchen.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: 0, y: 0, z: 0}",1,6,1,,,-1,1,0,{fileID: 0},0,0,1,{fileID: 1827441066330808},1827441066330808,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,1,,"{x: 2.21, y: 1}",,,,,,,,,,,,3,0.4,10,,,,1,1073741824
Building_Kitchen,Assets/GameObject/Building_Kitchen.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: 0, y: 0, z: 0}",1,6,1,,,-1,1,0,{fileID: 0},0,0,1,{fileID: 1606099460705314},1606099460705314,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,1,,"{x: 2.21, y: 1}",,,,,,,,,,,,3,0.4,10,,,,1,1073741824
Building_Merchant_Equipment,Assets/GameObject/Building_Merchant_Equipment.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: 0, y: 0, z: 0}",1,6,1,,,-1,1,0,{fileID: 0},0,0,1,{fileID: 1719500608401172},1719500608401172,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,1,,"{x: 3.05, y: 4.76}",,,,,,,,,,,,3,0.4,10,,,,0,1073741824
LootBox_Tomb,Assets/GameObject/LootBox_Tomb.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: -0.03, y: 0.17, z: 0}",1,6,1,,,-1,0.37,0,{fileID: 0},0,0,1,{fileID: 1816748877091763},1816748877091763,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,0,,"{x: 0.28, y: 0.28}",,,,,,,,,,,,3,0.4,10,,,,1,1073741824
Building_Workbench,Assets/GameObject/Building_Workbench.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: 0, y: 0, z: 0}",1,6,1,,,-1,1,0,{fileID: 0},0,0,1,{fileID: 1600297386997532},1600297386997532,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,1,,"{x: 1, y: 2}",,,,,,,,,,,,3,0.4,10,,,,0,1073741824
DummyAIController,Assets/GameObject/DummyAIController.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,1526319846,,,,,0,1,-1,,,{fileID: 0},0,0,0,{fileID: 1508700655510084},1508700655510084,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1526319846, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",1526319846,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,,,,,,,,0,3,3,4294967295,2,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,-1,,,,,,,,1073741824
Building_Merchant_Weapon,Assets/GameObject/Building_Merchant_Weapon.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1832252189,"{x: 0, y: 0, z: 0}",1,6,1,,,-1,1,0,{fileID: 0},0,0,1,{fileID: 1311075448487956},1311075448487956,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1832252189, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1832252189,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,{fileID: 0},1,0,,1,,"{x: 4.46, y: 6.27}",,,,,,,,,,,,3,0.4,10,,,,0,1073741824
AIController_Scare,Assets/GameObject/AIController_Scare.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,1526319846,,,,,0,1,-1,,,{fileID: 0},0,0,1,{fileID: 1259394191852494},1259394191852494,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1526319846, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",1526319846,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,,,,,,,,0,3,3,4294967295,2,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,-1,,,,,,,,1073741824
AIController_Scare,Assets/GameObject/AIController_Scare.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,-1473830303,,,,,,,,,,{fileID: 0},0,0,1,{fileID: 1259394191852494},1259394191852494,0,{fileID: 0},0,{fileID: 0},0,"{fileID: -1473830303, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",-1473830303,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,4294967295,2,,,,1,,"{x: 0, y: 0, z: 0}",,,,,,,,,,0,0,,,,,0,1,0,,1073741824
AIController_Melee_Pet,Assets/GameObject/AIController_Melee_Pet.prefab,AstarPathfindingProject,a3825d626d49b4e8366365dfd9c12e64,1526319846,,,,,0,1,-1,,,{fileID: 0},0,0,1,{fileID: 1598377307438932},1598377307438932,0,{fileID: 0},0,{fileID: 0},0,"{fileID: 1526319846, guid: a3825d626d49b4e8366365dfd9c12e64, type: 3}",1526319846,a3825d626d49b4e8366365dfd9c12e64,Assets/Plugins/AstarPathfindingProject.dll,,,,,,,,,,0,3,3,4294967295,2,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,,-1,,,,,,,,1073741824
