_ObjectName,_SourceFile,_Script,_ScriptGUID,_ScriptFileID,MonoBehaviour.- m_ControlPath,MonoBehaviour.- m_Name,MonoBehaviour.- m_Name.m_Action,MonoBehaviour.- m_Name.m_Flags,MonoBehaviour.- m_Name.m_Groups,MonoBehaviour.- m_Name.m_Id,MonoBehaviour.- m_Name.m_Path,MonoBehaviour.m_Action,MonoBehaviour.m_ActionId,MonoBehaviour.m_Asset,MonoBehaviour.m_Asset_fileID,MonoBehaviour.m_Asset_guid,MonoBehaviour.m_Asset_path,MonoBehaviour.m_BackgroundBehavior,MonoBehaviour.m_BindingGroup,MonoBehaviour.m_ButtonReleaseThreshold,MonoBehaviour.m_CompensateForScreenOrientation,MonoBehaviour.m_ControlPath,MonoBehaviour.m_CorrespondingSourceObject,MonoBehaviour.m_CorrespondingSourceObject_fileID,MonoBehaviour.m_DefaultButtonPressPoint,MonoBehaviour.m_DefaultDeadzoneMax,MonoBehaviour.m_DefaultDeadzoneMin,MonoBehaviour.m_DefaultHoldTime,MonoBehaviour.m_DefaultSlowTapTime,MonoBehaviour.m_DefaultTapTime,MonoBehaviour.m_DisableRedundantEventsMerging,MonoBehaviour.m_EditorHideFlags,MonoBehaviour.m_EditorInputBehaviorInPlayMode,MonoBehaviour.m_Enabled,MonoBehaviour.m_ExpectedControlType,MonoBehaviour.m_Flags,MonoBehaviour.m_GameObject,MonoBehaviour.m_GameObject_fileID,MonoBehaviour.m_Groups,MonoBehaviour.m_Id,MonoBehaviour.m_InputActionPropertyDrawerMode,MonoBehaviour.m_IsProjectWide,MonoBehaviour.m_MaxEventBytesPerUpdate,MonoBehaviour.m_MaxQueuedEventsPerUpdate,MonoBehaviour.m_MultiTapDelayTime,MonoBehaviour.m_Name,MonoBehaviour.m_ObjectHideFlags,MonoBehaviour.m_Path,MonoBehaviour.m_PrefabAsset,MonoBehaviour.m_PrefabAsset_fileID,MonoBehaviour.m_PrefabInstance,MonoBehaviour.m_PrefabInstance_fileID,MonoBehaviour.m_Script,MonoBehaviour.m_Script_fileID,MonoBehaviour.m_Script_guid,MonoBehaviour.m_ScrollDeltaBehavior,MonoBehaviour.m_ShortcutKeysConsumeInputs,MonoBehaviour.m_SingletonActionBindings,MonoBehaviour.m_SupportedDevices,MonoBehaviour.m_TapRadius,MonoBehaviour.m_Type,MonoBehaviour.m_UpdateMode
CameraMode_CameraModeFaster,Assets/MonoBehaviour/CameraMode_CameraModeFaster.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,c9b47cd8-16c7-40f6-8b63-b80691021957,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,CameraMode/CameraModeFaster,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
CameraMode_CameraModeUpDown,Assets/MonoBehaviour/CameraMode_CameraModeUpDown.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,e13b0496-e54b-49c8-aff5-b1ccab312a9f,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,CameraMode/CameraModeUpDown,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_TrackedDevicePosition,Assets/MonoBehaviour/Character_TrackedDevicePosition.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,535f72d2-2c71-4778-84c4-da0457232bc2,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/TrackedDevicePosition,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_UI_WishlistHoveringItem,Assets/MonoBehaviour/Character_UI_WishlistHoveringItem.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,39cbceab-d7a8-45e7-a3b6-084c49c72f04,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/UI_WishlistHoveringItem,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_StopAction,Assets/MonoBehaviour/Character_StopAction.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,7149dd71-5ad9-4a8a-a4e9-cf5b6778598a,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/StopAction,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_ItemShortcut4,Assets/MonoBehaviour/Character_ItemShortcut4.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,63cd8288-262b-4c45-ab04-c1027cbc5867,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/ItemShortcut4,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_UI_ToggleCameraMode,Assets/MonoBehaviour/Character_UI_ToggleCameraMode.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,ce18c1aa-a13c-47e2-8eab-dcd92a234081,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/UI_ToggleCameraMode,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_UI_Quest,Assets/MonoBehaviour/Character_UI_Quest.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,bb2a771d-9630-451a-9026-c4a8f3bb42d3,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/UI_Quest,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_SwitchInteractAndBulletType,Assets/MonoBehaviour/Character_SwitchInteractAndBulletType.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,7b06383a-12ec-42ef-b5ec-d62edf8381ac,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/SwitchInteractAndBulletType,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_ToggleView,Assets/MonoBehaviour/Character_ToggleView.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,b1d002c3-47eb-49eb-bf75-1e2900e1eca1,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/ToggleView,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_Trigger,Assets/MonoBehaviour/Character_Trigger.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,fae33fa3-fc22-4a4d-bd8d-a807cfda4c55,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/Trigger,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
Character_TrackedDeviceOrientation,Assets/MonoBehaviour/Character_TrackedDeviceOrientation.asset,a7c8ed169960a6d09f38393641221f85,a7c8ed169960a6d09f38393641221f85,-1472958050,,,,,,,,,27038c95-df85-4d66-a056-e2a8fa409ffa,"{fileID: 11400000, guid: 7709d7f483a42e94daf8f33ee29f7cbd, type: 2}",11400000,7709d7f483a42e94daf8f33ee29f7cbd,Assets/MonoBehaviour/Duckov Controls.asset,,,,,,{fileID: 0},0,,,,,,,,0,,1,,,{fileID: 0},0,,,,,,,,Character/TrackedDeviceOrientation,0,,{fileID: 0},0,{fileID: 0},0,"{fileID: -1472958050, guid: a7c8ed169960a6d09f38393641221f85, type: 3}",-1472958050,a7c8ed169960a6d09f38393641221f85,,,,,,,
